"gene";"mean";"sd";"se"
"MRPS14";0.00012812034859174;0.000125297336588736;3.17802160123462e-08
"MRPS15";-1.18463070559596e-05;2.63421076600938e-05;8.19477655861837e-10
"MRPS21";5.0209457011563e-05;6.47620270627442e-05;6.62587312375084e-09
"MRPS25";2.41265695315911e-05;4.79565882978397e-05;2.83299307254889e-09
"MRPS30";-0.00069078601074587;0.00076167355676848;1.04498837489104e-06
"MRPS33";0.00133342837783438;0.000493694027245243;2.01657920597851e-06
"MRPS5";-7.40543223288003e-05;0.000154308916998831;2.87886623535821e-08
"MRPS6";0.000193037382261723;0.000236843221402595;9.2164637974299e-08
"MRS2";1.39100863532177e-05;4.03867109788742e-05;1.78987295958358e-09
"MSC";-2.49466377539841e-05;4.32623511729843e-05;2.45414382745557e-09
"MSH2";-7.70366708425643e-05;5.27065304615536e-05;8.65352108538975e-09
"MSH6";-7.04872925572086e-06;1.72807603443091e-05;3.41955545643063e-10
"MSI1";-5.93928306642534e-05;5.73090192811684e-05;6.74195279781458e-09
"MSI2";-4.85170760596488e-05;0.00014890361441152;2.40544422800474e-08
"MSLN";-7.19140343627329e-05;0.000100096894343567;1.49778381219936e-08
"MSMP";-4.6758513609303e-05;7.34108183536097e-05;7.460844117546e-09
"MSN";-7.00214245383589e-05;8.69355941994972e-05;1.22999932302471e-08
"MSRA";0.000220955979858176;7.81157404183447e-05;5.47937826829778e-08
"MSRB2";0.000178698945262426;0.000245158630109737;9.07572849569464e-08
"MST1P2";0.000147137226047318;9.13320468065585e-05;2.98134264292884e-08
"MST1R";-0.00016357069117687;9.02284705124548e-05;3.47233313734999e-08
"MST4";1.43543323830526e-05;1.68537509358483e-05;4.84052184715281e-10
"MSTO1";-0.000469480620657455;0.000455607799003901;4.23573956568787e-07
"MSTO2P";4.84200038518851e-05;6.56633443391072e-05;6.56443380132771e-09
"MSX1";-0.000581693455491459;0.000499117525457407;5.82185190928857e-07
"MSX2";-4.07657560723235e-05;4.2969873510583e-05;3.46897157788675e-09
"MT1B";-2.30321253009891e-06;1.57900295776739e-05;2.49325034063817e-10
"MT1DP";-2.0446956645353e-05;3.46819985481799e-05;1.59532669715511e-09
"MT1E";2.24283558460215e-05;0.000115441583585252;1.35462422981015e-08
"MT1F";-1.52013613203898e-05;3.37750753374312e-05;1.34756570187094e-09
"MT1G";0.000748604385428824;0.000587770247188629;8.98531881629828e-07
"MT1M";-2.63244610372871e-05;6.66248861809954e-05;5.03740854883997e-09
"MT1X";-4.14960902203609e-05;5.0175729361689e-05;4.1859632818947e-09
"MT2A";5.61230402339865e-06;6.92727843094085e-06;7.84641389436056e-11
"MT4";0;0;0
"MTAP";-7.58825500984313e-05;0.000232609297984624;5.8714032333045e-08
"MTCH1";-0.000240691776537993;0.000141961132988874;7.7656708119745e-08
"MTCH2";6.77056713108232e-05;0.000144433204837375;2.50011585732104e-08
"MTCP1";-1.22209295340137e-05;4.4623029343762e-05;2.09819959525948e-09
"MTDH";1.73816201800239e-05;5.08928109304098e-05;2.83709087757896e-09
"MTERF";8.89306825867449e-06;4.90858050451644e-05;2.43723874430593e-09
"MTHFD1";4.27408998140563e-06;4.45062031137259e-05;1.95692523490554e-09
"MTHFD1L";1.84121205743822e-05;2.98244203387092e-05;1.20957678474432e-09
"MTHFD2L";2.80446048967191e-05;3.60135485952115e-05;2.05588031894722e-09
"MTHFR";0.000203576984101679;0.000277151971570868;1.16622480070797e-07
"MTHFS";-1.20151267303142e-05;3.79913917183669e-05;1.5569996289865e-09
"MTL5";-0.000183502016495155;0.000110175366806404;4.55533331799707e-08
