"gene";"mean";"sd"
"ACOT11";-7.29770373315131e-06;3.09568475312679e-05
"ACOT7";0;0
"ACOT9";-0.000542151905239632;0.000308286294519608
"ACOX1";4.70323902384884e-05;9.38817889055488e-05
"ACOXL";-1.42621133280814e-05;3.8072423442265e-05
"ACP2";-4.86273568179909e-05;0.000117094074785651
"ACP5";0.000347392829100449;0.000425177164085819
"ACP6";-1.9702496177493e-05;5.91587380004905e-05
"ACPT";-1.62129985735203e-06;9.10518979037787e-06
"ACSBG2";-1.82607964833168e-07;4.9067536252828e-06
"ACSF3";2.10772407664878e-05;3.13845751334376e-05
"ACSL3";8.77499186410632e-06;1.14285887395584e-05
"ACSL4";0;0
"ACSL5";6.34104827415385e-06;1.39727489947014e-05
"ACSL6";4.50481495029952e-06;1.4319385321063e-05
"ACSM3";-1.66938137963577e-05;2.50359564924815e-05
"ACSS2";-0.00027302610656481;0.000426778945156055
"ACTB";0;0
"ACTBL2";-6.45543173161782e-07;6.88960248260923e-06
"ACTG1";-1.5521983714474e-07;4.14709798598628e-06
"ACTN1";0;0
"ACTR10";-6.63038379555766e-05;7.15831221659149e-05
"ACTR1A";1.76585025192743e-05;6.937827549221e-06
"ACTR3C";-5.05035982072323e-06;1.961268558171e-05
"ACVR1";-8.99967932093186e-05;6.51380249089436e-05
"ACVR1B";0;0
"ACVR2A";-1.10849834500601e-06;6.50895080696799e-06
"ACVR2B";0.000142194602603761;0.000426695516356611
"ACY3";1.62266217094894e-06;1.54351802153195e-05
"ACYP1";-1.66243358738792e-05;4.46894171625081e-05
"ACYP2";-1.33278404031519e-05;3.81353432609764e-05
"ADA";0.00016634036899422;0.000507274594682862
"ADAD2";-1.93686251972039e-06;6.55101009824805e-06
"ADAL";1.46795710592266e-06;1.39694109261928e-05
"ADAM19";3.31443816618712e-07;4.14847980640094e-05
"ADAM2";8.19971295849546e-06;6.43178076603225e-05
"ADAM32";0.000111569664169591;0.000345946479425592
"ADAM7";1.50152438150064e-07;5.30307294734941e-06
"ADAMTS1";0;0
"ADAMTS13";3.93239849095999e-05;3.36432801552426e-05
"ADAMTS16";1.77478397400005e-05;4.78649245238806e-05
"ADAMTS19";-3.97999300957313e-06;1.6498075827849e-05
"ADAMTS3";1.2473679714672e-06;6.41310053196413e-06
"ADAMTS4";0;0
"ADAMTS5";-2.47709971359531e-06;2.16930116302663e-05
"ADAMTS7";0;0
"ADAMTS8";-8.03738004864538e-06;1.83069815846825e-05
"ADAMTS9";-7.23683513196361e-05;0.00021342949707363
"ADAMTSL1";-3.40655741015348e-05;0.000100403352592542
"ADAMTSL2";0;0
"ADAP1";9.30542356899211e-06;1.46791640595806e-05
"ADARB1";-5.0004078547667e-08;4.14541589747978e-07
"ADARB2";-2.56822045513567e-06;1.64193012633003e-05
"ADAT2";0.00344661278512927;0.00454286086039814
"ADC";5.95060395591727e-06;4.85667552007965e-05
"ADCK2";-2.41425238083129e-05;1.85865432150915e-05
"ADCK4";-2.05352181444939e-06;2.74010166930888e-06
"ADCY1";0;0
"ADCY10";-0.000130758297257892;0.000480714358124267
"ADCY2";2.11255223246579e-06;4.44818630402397e-06
"ADCY5";1.4777075086859e-06;3.42318576683957e-06
"ADCY6";-2.69358104467455e-06;2.57700788359899e-05
"ADCY9";3.55541983237101e-06;1.52956461930112e-05
"ADCYAP1";-1.29596327932251e-05;6.34807441028275e-05
"ADH1C";0.000329935212915811;0.000941413417888412
"ADIPOQ";-2.4489987073502e-07;6.25613641862593e-06
