"gene";"mean";"sd"
"C8orf38";0;0
"C8orf4";0.000222355587494134;0.000628269143403829
"C8orf42";0.000541049786833555;0.000692336327655083
"C8orf46";2.58008348249147e-05;0.00021738195342154
"C8orf48";4.49211891646929e-05;8.02411184692413e-05
"C8orf51";8.30615532892193e-09;4.43738420082936e-07
"C8orf77";-7.07875155732069e-07;1.69129923278785e-06
"C8orf79";1.05784254119158e-06;1.89441658020389e-05
"C8orf83";-1.16073463225335e-06;4.87370035212001e-06
"C8orf84";1.22031470026117e-05;9.31266903149875e-06
"C8orf85";-3.19966057694581e-06;3.62740254313087e-05
"C9orf103";2.49956804897826e-05;3.50547997770237e-05
"C9orf109";1.09771123489816e-05;3.09530578137948e-05
"C9orf116";-4.94576370122664e-06;2.82452724514523e-05
"C9orf122";-7.5802045128258e-08;1.24011269091769e-06
"C9orf125";0.000110064244039152;0.00022254763433882
"C9orf135";9.54865479626311e-06;5.06818782678121e-05
"C9orf140";7.13598934696865e-08;2.78898866892562e-06
"C9orf152";-7.15214380225815e-06;1.89927035963165e-05
"C9orf156";0.0107501756488137;0.0262869696616106
"C9orf163";-0.000139363864445972;0.0010095573621549
"C9orf169";2.30364822603721e-07;2.55376846056271e-06
"C9orf170";1.00722582404715e-07;2.92426573269805e-06
"C9orf21";-4.50654036524237e-05;2.49996800913977e-05
"C9orf23";-6.1219716119155e-06;1.09909125440146e-05
"C9orf24";2.65733858372251e-06;7.15210736202945e-05
"C9orf3";-1.39622259299094e-05;9.03234564179666e-06
"C9orf4";2.20384224013743e-06;1.29063825889353e-05
"C9orf40";-0.000104047188167615;0.000110618660496552
"C9orf45";-7.13417997238966e-07;4.54464473015478e-06
"C9orf47";-6.38226303845167e-06;2.57786813336198e-05
"C9orf50";1.44645227525561e-07;3.56899678499861e-06
"C9orf64";0;0
"C9orf66";-7.21413309852018e-06;2.31236387313106e-05
"C9orf68";1.40058258651091e-05;4.41178942798811e-05
"C9orf7";-7.21752702348919e-05;0.000201134294861941
"C9orf70";-0.000764692998113873;0.0015351293592007
"C9orf72";3.11558236793489e-05;5.63249107405304e-05
"C9orf84";-4.07061132740774e-07;5.89382406673318e-06
"C9orf89";1.90420357786237e-06;6.55396735084473e-06
"C9orf91";1.99749452082246e-05;2.60802249370158e-05
"C9orf93";0;0
"C9orf95";0;0
"C9orf96";-0.00010698216368476;0.00028720240715266
"C9orf98";-4.46756108213758e-06;1.36218090904991e-05
"CA12";-0.000140726354574792;0.000498599327160013
"CA14";-0.00076355039918738;0.00325893625256153
"CA2";-6.28991325610961e-06;3.70175189017854e-05
"CA3";-2.28116486486077e-06;1.2257808175953e-05
"CA4";-1.08030941393177e-06;1.14219647277136e-05
"CA5B";3.74518955846824e-05;5.42437975704881e-05
"CA6";-2.25617540919731e-06;1.5805150367576e-05
"CA9";9.20150305127676e-07;1.09631545516242e-06
"CAB39L";1.24032162593646e-05;2.45968834886093e-05
"CABLES1";0;0
"CABLES2";1.31630473449742e-05;3.93098462040277e-05
"CABP1";-3.28116188670152e-08;1.32307974949367e-06
"CABP7";3.75302979285881e-08;9.80915198510624e-07
"CACNA1B";-7.3957312466422e-07;5.14175281103891e-06
"CACNA1D";-9.20901655784831e-06;1.38925475860445e-05
"CACNA1G";-2.68562699955065e-06;1.22511709734118e-05
"CACNA1H";-1.25203134030114e-06;4.67642573841977e-06
"CACNA1I";1.75746779482248e-07;6.95224367490396e-06
"CACNA1S";-8.65131654293483e-07;3.62158687880555e-06
"CACNA2D2";1.87077416255916e-06;4.39201859356427e-06
"CACNA2D3";2.5687130770056e-06;1.21714351382389e-05
"CACNA2D4";-2.60447203259789e-06;1.80622278090191e-05
"CACNB2";-1.84200432940327e-06;1.76147455994822e-05
"CACNB4";-1.00041994414628e-05;1.30993864021556e-05
"CACNG1";0.000173326202837737;0.000826221056392059
"CACNG4";-7.5534171883652e-05;0.000116075209600151
"CACNG6";4.92550828088821e-07;1.08672327760059e-05
"CACYBP";-2.37651234527856e-05;2.01222379363817e-05
"CADM1";-2.87423433337813e-07;1.25783010311637e-06
"CALB1";1.48002362229315e-05;7.51747520047524e-05
"CALB2";-3.51685817918758e-06;2.56747953276459e-05
"CALCA";3.48503848304948e-07;3.60305342046388e-06
"CALCB";-8.77783857896585e-06;3.11781279351925e-05
"CALCR";-5.69658945403969e-07;1.11656144862381e-05
"CALCRL";-6.59663585682605e-06;1.06304658220902e-05
"CALD1";-2.69898793225203e-05;2.41427795437626e-05
"CALHM2";2.00325177714073e-08;1.07019402288512e-06
"CALHM3";4.73945877339057e-07;2.77610455485677e-06
"CALM2";0;0
"CALM3";-9.76157124820428e-06;3.42606759107803e-05
"CALML4";2.11021665495346e-06;1.97177912834641e-05
"CALML6";5.9568099581569e-07;3.9453893976178e-06
"CALN1";0;0
"CALR";-7.03349843419681e-05;0.000165184135656388
"CAMK1D";-2.48105245330303e-06;6.1676583532413e-06
"CAMK1G";-7.84233828870641e-06;2.26841303179642e-05
"CAMK2B";-5.37272637167486e-06;2.59177993104343e-05
"CAMK2D";9.40634086064632e-06;1.5433933141702e-05
"CAMK2G";0;0
"CAMK2N1";-8.46619280556785e-05;4.3985118119204e-05
"CAMKK1";6.4552922348432e-07;6.96469753847581e-06
"CAMTA1";9.48838877420776e-05;4.00937725521363e-05
"CANT1";0.00016513456682046;0.000363367375214124
"CAP2";-2.53055635486894e-05;2.91432562563181e-05
"CAPN12";0.000258199566577954;8.7437651663672e-05
"CAPN13";0;0
"CAPN14";-9.08263310255969e-07;3.88812329656502e-06
"CAPN2";5.37321639511099e-06;3.23908937368994e-05
"CAPN5";5.84416679208286e-06;4.59713840207913e-05
"CAPN8";-8.82853142104015e-08;6.8386138426793e-06
"CAPN9";3.55732969348932e-05;0.0001400322582829
"CAPNS1";1.28665168679318e-05;1.72565132810998e-05
"CAPS";5.21362725119751e-05;2.28911201468994e-05
"CAPSL";-2.83468852122227e-07;4.40441937582849e-06
"CAPZA2";0;0
"CARD10";-0.000821306258156782;0.00204883328352596
"CARD11";-9.73993648460081e-06;2.42096493000443e-05
"CARD16";3.42261282945524e-07;3.37369981652942e-06
"CARD18";0;0
"CARD6";0;0
"CARD8";3.01534862896891e-07;8.21587279494809e-06
"CARKD";1.96584226054522e-05;1.09046133989782e-05
"CARNS1";3.27833963199015e-06;1.74672977360614e-05
"CARS";-1.32211060533661e-05;1.7610709530357e-05
"CARS2";-9.13898838547187e-06;1.55706793521478e-05
"CARTPT";3.16931169505468e-06;1.35986922727221e-05
"CASC1";6.5405491539965e-06;1.74585028561083e-05
"CASC2";3.22318673697424e-05;6.54439025790535e-05
"CASK";2.71186674888271e-06;6.44659879998366e-06
"CASKIN1";-1.10423677222695e-05;2.43176975221224e-05
"CASP14";0;0
"CASP3";2.13312618225681e-05;1.30615665449721e-05
"CASP7";-2.08841400200762e-07;6.6008489210514e-06
"CASP8";0;0
"CASP9";-4.65874671923729e-06;9.04324865418062e-06
"CASQ1";1.51725444027763e-07;1.02789445094168e-05
"CASR";2.92328250503186e-05;0.000149344900638788
"CATSPER1";-4.29959160883353e-06;5.44360973571734e-05
"CATSPER2";-1.95478557890895e-06;7.71737005857507e-06
"CATSPER3";5.37631603904182e-06;1.65224483506517e-05
"CATSPERG";-1.56864435267049e-06;1.30668669409155e-05
"CAV1";8.92269276657587e-05;9.05417746251595e-05
"CAV3";-1.32010283322457e-07;2.4528797668286e-06
"CBARA1";-2.26983180018641e-06;1.08364033327931e-05
"CBFA2T3";8.59076902559821e-07;7.19019755399393e-06
"CBFB";3.11003026795978e-06;2.90322052109788e-05
"CBL";1.25359546748864e-06;9.95922021314581e-06
"CBLB";0.000791694551959427;0.000234144221550458
"CBLC";-8.51118467212076e-06;3.85640893362034e-05
"CBLN1";0;0
"CBR1";-4.58389893434058e-05;5.08534423093718e-05
"CBS";0.000667252976363885;0.00132038168346748
"CBWD1";2.5557123592941e-05;2.81256307067401e-05
"CBWD2";-5.61714290306118e-06;1.19304473374605e-05
"CBWD3";-1.31852225812647e-06;3.25818231166902e-06
"CBX2";0;0
"CBX4";-5.46018467439982e-06;1.89680817743169e-05
"CBX8";0;0
"CC2D1A";0.000411650020460321;0.000164895909199616
"CCBL1";0.000127939919874147;5.8847239493765e-05
"CCBP2";0;0
"CCDC102A";-2.24887860532908e-07;2.12678609401478e-05
"CCDC102B";-9.22778833442977e-06;2.10704413343219e-05
"CCDC106";-0.000117407343774008;4.09866496887945e-05
"CCDC107";0;0
"CCDC109A";2.21076945729823e-05;1.94987122140546e-05
"CCDC11";2.18452213086801e-06;2.31317083376743e-05
"CCDC112";5.63039338787189e-05;3.82547001211455e-05
"CCDC113";1.25583676133011e-06;6.09114156555991e-06
"CCDC120";1.4873752010549e-06;9.36884487387848e-06
"CCDC123";2.73564249602005e-05;1.67475915103292e-05
"CCDC125";2.95818270483461e-06;8.99234472407195e-06
"CCDC13";6.67832399866253e-07;1.9775719846443e-06
"CCDC134";2.79808087720473e-05;0.000103224118879006
"CCDC144NL";8.78503461224803e-07;6.12123513982919e-06
"CCDC146";-1.30958920672653e-05;3.63558054184731e-05
"CCDC147";6.95061810695781e-07;5.170645168729e-06
"CCDC15";1.7801659755005e-07;3.28737990063076e-07
"CCDC153";2.24415885323185e-06;9.53787752767141e-05
"CCDC155";9.9817903126977e-07;1.32261387966306e-05
"CCDC160";-6.40359571999416e-07;4.16515441756706e-06
"CCDC163P";-0.000160369993771123;0.000439442209698352
"CCDC17";-1.91410795283576e-05;3.30124902979391e-05
"CCDC22";-6.09985851556659e-06;3.92241409466928e-05
"CCDC24";-1.02865532581053e-07;1.22363144866933e-06
"CCDC28A";3.79318997249149e-07;2.09118845559733e-06
"CCDC28B";-5.43306026771837e-06;1.38055280679183e-05
"CCDC3";-3.31597135992379e-05;3.1170561398936e-05
"CCDC36";-2.37499764631123e-05;0.000105604471867456
"CCDC37";1.92462071131653e-07;3.13524108584776e-06
"CCDC42";5.69303084073768e-06;1.52499934972897e-05
"CCDC42B";2.3503153006531e-05;3.05578632925876e-05
"CCDC46";-9.48997682208476e-05;0.000153008898091368
"CCDC48";9.63583126565427e-06;4.07878395169344e-05
"CCDC50";-1.84780149418606e-05;8.13563331427813e-05
"CCDC51";1.93568091109844e-05;9.87659373164772e-06
"CCDC56";-1.12040660618545e-06;2.68883127155303e-06
"CCDC57";0.000101953521028973;6.67546436359448e-05
"CCDC6";7.01941191801398e-07;4.24841313784291e-06
"CCDC60";1.49788947315609e-06;1.30746593686657e-05
"CCDC64";4.84198850652356e-06;1.47838790258746e-05
"CCDC67";-1.77880204579333e-05;9.53370152660707e-05
"CCDC68";-3.96599056325824e-06;2.85884745873528e-05
"CCDC69";0.000173872372017952;0.000270772783134246
"CCDC74B";0;0
"CCDC78";1.78960989824775e-06;4.57168882159881e-06
"CCDC8";3.52715070000608e-06;5.96512854061968e-06
"CCDC81";-9.62754301682343e-06;4.15345933270826e-05
"CCDC83";-2.48294165379555e-07;3.66689581486111e-06
"CCDC84";0.000126196325653127;3.95878476507542e-05
"CCDC85C";0;0
"CCDC86";1.5058652002748e-06;6.89960443887107e-06
"CCDC87";0.0506190051035746;0.0392676440453559
"CCDC88B";2.55301516933227e-06;1.6580940511025e-06
"CCDC88C";-4.50982771525255e-06;1.91091488293381e-05
"CCDC9";1.01408320793746e-06;8.76923204734657e-06
"CCDC90A";2.7622047573566e-06;3.08062475715777e-06
"CCDC92";5.4575345947411e-06;2.82707701249761e-05
"CCDC96";-1.52846096946314e-07;3.70582366705562e-06
"CCHCR1";2.87338185710857e-06;8.77818406264343e-06
"CCK";-1.64137847017817e-06;5.63648311995024e-06
"CCKAR";2.18296790237525e-08;2.1423665414159e-06
"CCKBR";7.00379493774359e-06;4.52193826703105e-05
"CCL11";2.45277408896122e-05;4.95631243099635e-05
"CCL2";2.30898139405156e-05;1.36502593214224e-05
"CCL20";7.89112150161254e-05;0.000164309486586336
"CCL28";8.79632804671742e-07;2.59374151131067e-06
"CCL7";2.36037943569602e-07;2.89217683245406e-06
"CCL8";-3.03372720768083e-06;4.48893238453428e-06
"CCM2";0;0
"CCNB1IP1";-4.37608926919024e-06;2.09336445631649e-05
"CCNB3";9.30854100588811e-05;0.000278053761149532
"CCNC";3.80568151872113e-05;1.66319706187857e-05
"CCND1";8.00642748791855e-05;2.93209343837433e-05
"CCND2";1.57944320665779e-05;5.68116439314368e-05
"CCND3";-6.97039917033943e-05;4.97874539417201e-05
"CCNDBP1";0;0
"CCNE1";-0.000218804302595785;0.000622756502465082
"CCNG1";1.11768268353716e-05;2.8870603269648e-05
"CCNG2";-7.2709532471233e-08;1.60934243553935e-06
"CCNH";0.00016695798712578;0.000156779378234742
"CCNI2";2.24863378273853e-06;6.2332901032476e-06
"CCNJL";0;0
"CCNYL1";4.890402193253e-06;2.41584584733617e-05
"CCR10";-3.79600296556018e-06;1.55246198298392e-05
"CCR4";5.64053771676223e-07;4.38821391425743e-06
"CCR6";3.26322975652974e-05;0.000102924945016273
"CCR7";4.85583748019028e-06;2.21905297958089e-05
"CCRN4L";7.13914810305026e-07;3.12434723538455e-06
"CCS";-2.00881634251077e-08;1.07316677182608e-06
"CCT2";-1.21369205619697e-05;8.97563962616959e-06
"CCT6B";2.97501460697336e-05;0.000156635318572713
"CCT8";0;0
"CD109";-3.9348618861483e-06;8.27408922306444e-06
"CD151";-0.00164337981982305;0.000602640538474938
"CD177";3.6435451523424e-07;3.06513621206685e-06
"CD1D";-5.50634139183106e-06;2.25647327224826e-05
"CD200";1.94538941187179e-05;5.98961979318443e-05
"CD207";-6.48099507313088e-06;2.72016212739429e-05
"CD209";-2.26794052042644e-09;6.4846956556867e-08
"CD22";3.9748278567324e-06;1.22475605578846e-05
"CD24";2.85021735274941e-05;2.59495651978604e-05
"CD244";3.71598097100635e-06;5.78867798735558e-06
"CD274";5.37915181749943e-06;1.888687848128e-05
"CD276";-0.000214091802250686;0.000239484508329622
"CD28";-1.34868960394455e-06;1.99807032843909e-06
"CD300LB";7.75546353802872e-06;4.9413174135976e-05
"CD320";-6.1808695689255e-06;1.66929418072437e-05
"CD36";0.000181307384562741;0.000369301313374936
"CD38";3.76138063600945e-07;1.07711073067067e-06
"CD44";1.21376683146133e-08;6.48428731240245e-07
"CD55";0.000218226364976385;0.000150079982361367
"CD58";0;0
"CD59";7.90561690911807e-07;4.64255001891894e-06
"CD5L";-5.8316457564298e-05;0.000857600890929591
"CD63";0;0
"CD70";1.64926601699109e-05;9.58633386512103e-05
"CD74";0.00012950370709474;0.000127478075811129
"CD79A";0.000137050173017669;0.000403192237882541
"CD79B";-2.1921427314022e-06;0.000110086650963657
"CD81";8.55039587398126e-05;0.000149332629665859
"CD82";0;0
"CD83";2.11381937904263e-07;5.24622332413725e-06
"CD9";-3.58300608125493e-06;7.0687579895313e-05
"CD97";4.29850041565156e-05;0.000138154259672187
"CD99";2.49414431325498e-06;5.92818505278723e-06
"CD99L2";-2.20209901670619e-06;7.90936667301638e-06
"CDA";0;0
"CDADC1";-1.47455752727278e-06;5.99223144380769e-06
"CDC16";1.79416518032884e-09;2.51180599097952e-08
"CDC34";0;0
"CDC37L1";9.16846478511863e-07;3.49233304039346e-06
"CDC42";0;0
"CDC42BPA";4.58815490186428e-05;0.000100881443854747
"CDC42EP2";-4.62494930741195e-06;1.23436912367201e-05
"CDC42EP4";8.20521207758727e-05;0.000429139732859424
"CDC42SE1";4.1742041561155e-06;4.88553144107478e-06
"CDC73";5.68011643110141e-07;5.45557944103982e-06
"CDH1";-2.08100818790348e-08;8.27238598995396e-07
"CDH10";-1.97578826239905e-07;5.5653001639757e-07
"CDH11";-0.000436324654407093;0.000525324526495309
"CDH15";3.89507928670853e-05;8.72389149378363e-05
"CDH16";-7.41945907762465e-08;1.44434200836205e-06
"CDH17";-1.10185524277824e-06;4.91974442430153e-06
"CDH2";-0.000336565822117559;0.000546755451895371
"CDH22";-2.20277526671653e-07;1.85130555733951e-06
"CDH26";4.74274676822997e-06;5.22990919694112e-06
"CDH3";-1.55646942982942e-05;5.9264944861357e-05
"CDH5";0;0
"CDH8";-1.11104307614173e-06;1.23632958836257e-05
"CDH9";5.31082110215911e-05;0.000182258685072303
"CDHR1";-2.93439056734622e-05;7.14958554989061e-05
"CDIPT";9.34732433279321e-06;1.44995189604432e-05
"CDK10";6.46917350101328e-05;0.000174283785968468
"CDK11B";7.55381100298449e-06;0.000157004097402496
"CDK12";3.26022601210911e-06;5.68282361713616e-06
"CDK15";3.42840902681393e-06;1.30992384704508e-05
"CDK2";-3.25471844125507e-05;5.66190319169179e-05
"CDK20";0.000138567591390226;4.51701313494141e-05
"CDK3";0.000348925846620759;0.00016993910516078
"CDK4";6.45453320688392e-05;0.000156508178999845
"CDK5";1.73603106469173e-06;9.07411321733751e-06
"CDK5RAP1";-6.40868583518623e-07;2.22722434213508e-06
"CDK5RAP2";-1.23710479131893e-05;3.44610564628755e-05
"CDK6";-4.61484338298115e-05;6.35429824216023e-05
"CDKAL1";1.32714374804647e-07;1.45059146556939e-06
"CDKN1A";3.05194490915502e-06;1.16644364120911e-05
"CDKN1B";5.76193193924995e-07;1.01276161874457e-06
"CDKN2A";-6.73948249839515e-06;1.52373632546808e-05
"CDKN2AIPNL";-2.09852636952207e-06;8.96378511092162e-06
"CDKN2C";-3.1328321110658e-06;1.39860110295589e-05
"CDKN2D";0;0
"CDNF";1.26967274418513e-06;6.73899025802411e-06
"CDON";8.67499416730081e-07;3.42079170732177e-06
"CDR2";-0.000566100557253935;0.000648732631152852
"CDRT1";1.24634580154267e-07;1.21580755813462e-06
"CDRT4";2.72133943240687e-05;3.28891806869704e-05
"CDS2";1.18948458587228e-05;0.000135309444884415
"CDSN";0.00686088347741679;0.014310219679744
"CDX2";2.67812862357416e-06;7.46032487278547e-06
"CDYL2";-2.60727623691361e-07;2.5352215573271e-06
"CEACAM1";0;0
"CEACAM19";1.93762525710649e-06;4.09288496968622e-06
"CEACAM20";-0.000116646469997586;0.000461219542272434
"CEACAM22P";-8.4305167193814e-06;4.73488571121546e-05
"CEBPA";1.76774864914539e-06;6.07653962879799e-06
"CEBPD";-0.00587189582897144;0.0037635327047758
"CEBPG";1.06769971672751e-05;3.29200918203213e-05
"CECR2";-5.12239381660403e-06;2.45098363251356e-05
"CECR7";-2.58446146846672e-05;0.000143384254573296
"CEL";-2.74794506842279e-05;0.000177031822099474
"CELF4";-9.35093178252474e-06;3.89867126575495e-05
"CELF5";-4.26767319439048e-06;1.51016704674148e-05
"CENPB";-1.47340588155675e-05;6.79418771930391e-05
"CENPBD1";1.14348788810271e-05;1.69657761241716e-05
"CENPN";-2.34315655488887e-06;1.85691954246736e-05
"CENPV";-4.45911628694554e-06;3.26510314340061e-05
"CEP164";-0.000328427287276271;0.000325464020103416
"CEP170L";2.50163190500583e-06;2.00712220993735e-05
"CEP57";-8.36371396756212e-06;1.97004073164736e-05
"CEP63";0;0
"CEP70";1.60141379939846e-06;1.26358921850848e-05
"CERK";0;0
"CERKL";-1.17923896547196e-05;0.000128601850763551
"CES1";-0.000452442832859742;0.000577867431607386
"CES3";2.98121120961717e-07;1.56144685108351e-05
"CES7";-2.94119477611992e-06;2.79111763207172e-05
"CES8";0.000128303038671806;0.000329264394836696
"CETP";7.9551294988283e-07;7.07506784020792e-06
"CFC1B";-1.19490584663484e-06;1.19030928801927e-05
"CFD";-9.78610183424628e-06;3.54471148218394e-05
"CFDP1";-1.88071201863896e-05;2.52738581835304e-05
"CFI";1.06359682373241e-06;2.32232088231496e-05
"CFL2";-8.48738294717163e-07;7.4946557996773e-07
"CFTR";2.96293501277131e-06;9.1014068042708e-06
"CG030";-9.16981084557776e-07;1.09928982997937e-05
"CGA";3.14736872303329e-05;0.000157421933886177
"CGB";-1.6754545161002e-07;8.97641103504445e-06
"CGB2";-2.30036529291079e-06;4.69332882462656e-05
"CGNL1";5.65955317277935e-05;8.11268171476619e-05
"CH25H";3.06345883491249e-05;7.53254286069752e-05
"CHADL";0.000662563035168258;0.00213115317647244
"CHAT";-5.39985154976037e-07;4.72955637104156e-06
"CHCHD1";-0.000108186989578851;0.000231994643410673
"CHCHD2";-1.0262359859334e-05;8.85435634313655e-05
"CHCHD4";4.00213224143309e-06;3.50768846974045e-06
"CHCHD6";1.06659980213864e-05;2.17711525337599e-05
"CHCHD7";-2.21458787134809e-06;7.074685180694e-06
"CHD1L";0;0
"CHD2";-5.45735478076548e-06;9.43638727242757e-06
"CHD4";7.44890203279994e-06;6.59119207187741e-06
"CHD7";-3.07766952541714e-06;7.40815288393004e-06
"CHDH";-7.30116400259632e-06;2.04077068341661e-05
"CHEK2";-2.78061746130452e-06;3.70318733397066e-06
"CHGB";-3.11155779083399e-06;2.50966317991945e-05
"CHIA";-2.34920204155392e-07;1.94677435508685e-05
"CHIC2";-0.000247905922635686;9.19592646253145e-05
"CHID1";1.65422216122632e-05;6.96125724654709e-05
"CHKB.CPT1B";0.00049981635361661;0.000321764689231341
"CHL1";-0.000161257237471276;0.000687638032241864
"CHML";-2.26844480953835e-06;2.03303473134831e-05
"CHMP2A";0;0
"CHMP6";1.51920264110861e-06;3.1407017920856e-06
"CHODL";2.70693862382884e-06;2.66099486837294e-05
"CHP";-0.000219496825349472;0.000365363660006302
"CHP2";-2.30696081281932e-05;0.000101658582183204
"CHPF";-6.18071884283856e-05;9.38262916260375e-05
"CHPF2";-4.37057347453127e-05;0.000110798974791086
"CHPT1";-1.64453364117872e-06;7.25448343615465e-06
"CHRD";0.000193689564045148;0.000614034518566016
"CHRDL2";-9.65740934527457e-06;4.77082640239159e-05
"CHRM2";-8.48069580455833e-07;3.50598500445274e-05
"CHRM3";3.85225787474956e-08;1.24504310035547e-06
"CHRM5";0.000140305341010288;0.00100335112905899
"CHRNA1";-6.65308264374515e-06;6.26644841918949e-05
"CHRNA10";0.000601787888452046;0.000796566346689212
"CHRNA4";1.35394041504862e-08;7.23313442704529e-07
"CHRNA6";8.93286293941262e-07;4.62563341676487e-06
"CHRNB2";0.000192499932139436;0.000445735246113216
"CHRND";1.14916303607179e-06;1.14183628505131e-05
"CHRNE";-1.16950853653279e-06;1.27617012287416e-05
"CHRNG";1.73944417685482e-07;1.88483483826676e-06
"CHST11";-0.000682848401726773;0.000360605376085283
"CHST12";-8.41797931836859e-09;2.17947084972613e-07
"CHST14";-4.68286556112983e-07;4.35665000874978e-06
"CHST15";4.4104026463214e-06;1.13984403325935e-05
"CHST3";7.062977271004e-07;2.08378899431673e-05
"CHST6";-9.39639496844213e-06;1.77453932676491e-05
"CHST7";0;0
"CHST8";-2.34644827962763e-08;7.28948436680587e-05
"CHSY3";2.88678701523556e-05;0.000257575017433991
"CIB1";-6.68172648096817e-06;5.67841999968862e-06
"CIB4";-5.25632240863758e-05;0.000262900965195516
"CIC";0;0
"CIDEA";-1.54594428594625e-06;3.58425226602167e-05
"CIDEC";-5.4729742664431e-05;8.43773458771081e-05
"CIDECP";0.00168044332967596;0.000575083862482551
"CIITA";1.57591911919527e-06;6.63532726465826e-06
"CILP";5.93068765082901e-05;0.000288172436758985
"CINP";-9.31608687405998e-06;2.80892115760291e-05
"CISD2";-8.7786945371583e-05;5.93468620517306e-05
"CITED1";4.15241655789662e-06;7.38229729854374e-06
"CITED4";-2.16704812953323e-08;2.20938262696408e-07
"CKB";-3.57754954486558e-05;2.90400141846078e-05
"CKLF";1.52574396793791e-06;1.18895235207103e-05
"CKMT1A";6.24188062476908e-05;0.000139957130851394
"CKMT2";-7.01770664796581e-05;0.000201616498863753
"CLC";-1.21284902328887e-06;8.04952133986919e-06
"CLCA3P";-3.65353742451088e-07;2.61659919099518e-05
"CLCA4";-2.34437970865377e-06;1.45295258388608e-05
"CLCC1";0;0
"CLCN1";-5.85975018377807e-06;2.8434604972327e-05
"CLCN2";0;0
"CLCN5";-4.67063960956085e-06;7.14332348193886e-06
"CLDN10";-3.32745154200409e-05;0.000123697318120106
"CLDN12";-2.97223490588227e-07;1.1925997094112e-06
"CLDN14";5.08846474402449e-06;3.61597274935508e-05
"CLDN16";5.53292408626969e-05;0.000188552333679578
"CLDN17";-5.68086863559723e-06;7.29085281385723e-05
"CLDN19";-1.70283291953505e-06;6.74800922682767e-05
"CLDN9";-0.000100307245737794;0.000297076545232173
"CLEC11A";2.29085163178323e-06;1.00161662560087e-05
"CLEC18A";-2.29185208628407e-05;0.000117242563281961
"CLEC2A";7.40953203367799e-07;7.63026736576402e-06
"CLEC2B";-2.1330473812957e-06;9.03414635420318e-06
"CLEC2D";-3.9588012314093e-07;1.53436433881849e-06
"CLEC2L";2.83794516409148e-06;2.64919881692677e-05
"CLEC3A";0;0
"CLEC4F";0;0
"CLEC4GP1";5.84751590004706e-06;1.10606178622056e-05
"CLEC9A";-4.99683715925852e-07;5.74484500014475e-06
"CLGN";-1.90453084634125e-05;3.0823109707103e-05
"CLIC1";-6.04201593272535e-07;5.60162126208644e-06
"CLIC2";-7.88863271937651e-07;4.56892705429078e-06
"CLIC3";1.26208199587418e-05;4.79125768099464e-05
"CLIC6";-5.56766342057622e-06;7.22944588679798e-06
"CLIP1";1.5367847198936e-05;1.1435217836529e-05
"CLK2";0;0
"CLK2P";-0.000100621933156098;9.70689308395546e-05
"CLK3";1.02639926485621e-05;8.76222828891349e-06
"CLK4";-0.000101279459916982;0.000223207743590882
"CLLU1";-6.86648640901228e-05;0.000160933962444889
"CLLU1OS";2.92707634670605e-06;1.76772313802743e-05
"CLMN";5.60673003144387e-05;0.000153816285934311
"CLN5";3.51161771599543e-06;4.03546390561417e-06
"CLN6";-5.66591275627635e-06;4.69725632610187e-05
"CLP1";0.000471092167682609;0.0011381732649241
"CLPB";0;0
"CLPTM1";-3.6282852276441e-05;9.16999412623992e-05
"CLPTM1L";1.69205027620773e-05;2.70539070064737e-05
"CLSTN2";0;0
"CLTB";2.33307290256077e-05;5.69642799141063e-05
"CLTC";1.55623426796985e-06;1.07924699602057e-05
"CLTCL1";-0.000349050842684975;0.0013259641874739
"CLU";5.43432044434771e-06;1.12050512759952e-05
"CLVS1";-8.9972645421195e-08;1.25106197266299e-06
"CLVS2";-3.50968123219463e-06;2.37156896326971e-05
"CLYBL";0.000216865929510044;0.00079293398227824
"CMA1";-2.29530382982368e-07;3.94423847469258e-06
"CMBL";1.66232019524815e-05;2.76834566990738e-05
"CMC1";-8.6400711932093e-08;2.95730494771769e-06
"CMTM1";0;0
"CMTM2";-1.97492141270679e-07;3.56798827597543e-06
"CMTM3";-4.03960545207176e-05;9.80255858693211e-05
"CMTM4";0;0
"CMTM7";-1.21219982383608e-05;9.65875732637674e-05
"CMYA5";-8.57393937674265e-05;5.41514384174611e-05
"CNBD1";-1.07574279102054e-05;0.000347481041953922
"CNBP";0.000114864525169115;0.000126587241071634
"CNGA1";3.29112502359016e-08;1.75821250678786e-06
"CNGA4";-3.43564194305972e-05;0.000137540827546893
"CNGB1";6.45303616088763e-06;4.99033266896692e-05
"CNGB3";0;0
"CNIH3";0;0
"CNIH4";-0.000710632640602797;0.00144102918180507
"CNN3";-0.000274509080401821;0.000347846281869759
"CNNM3";0;0
"CNOT3";-7.17374326340989e-05;6.44910635075145e-05
"CNP";1.37850893387315e-07;2.26761187963698e-06
"CNPY3";-8.07437679063242e-05;7.0332724176406e-05
"CNTD1";4.50260322852069e-07;1.59856411704609e-05
"CNTD2";8.75114936847597e-05;0.000321671641586056
"CNTF";-2.38166682647671e-05;1.23308756436439e-05
"CNTFR";-0.000715809883153228;0.00156633909324909
"CNTLN";2.33945468055393e-06;4.09895948838584e-06
"CNTN1";-4.36216888113753e-06;2.56866363858135e-05
"CNTN3";6.90653277665262e-07;9.63805335087817e-06
"CNTN5";2.44151430648387e-08;9.3016673332527e-07
