"gene";"mean";"sd";"se"
"AMN";-3.43014665086577e-08;3.33129411074841e-06;1.10798876862129e-11
"AMOT";-0.000380016591024454;0.000659745453951114;5.78938937761298e-07
"AMOTL1";5.49138665201406e-05;0.000121653635080604;1.77900555849769e-08
"AMPD2";-1.94966489208104e-06;6.86291498045106e-06;5.08209653863657e-11
"AMPD3";2.23932220279074e-07;3.0651968935766e-06;9.42965317465994e-12
"AMT";0;0;0
"AMTN";0.0051298921848227;0.0151973620248347;0.000256884149032446
"AMY1A";2.04933834126961e-06;1.41440815333654e-05;2.03915753716397e-10
"AMY2B";0.00104997702343722;0.00148259582123843;3.29681654200287e-06
"AMZ2P1";9.48671435203532e-07;2.10243844829583e-06;5.31273297604903e-12
"ANAPC16";0.000126448753832527;7.82002076108164e-05;2.20941949475799e-08
"ANGEL1";2.57411376698982e-05;6.9814971196922e-05;5.52847513413512e-09
"ANGPT2";-9.25233622779433e-05;0.000122643406656405;2.35764838563916e-08
"ANGPT4";-1.61427500938943e-06;7.8809855493049e-06;6.46105459610235e-11
"ANGPTL6";0;0;0
"ANGPTL7";-1.33435669199492e-06;5.09839481819215e-05;2.59673778004542e-09
"ANK1";-1.52070300391162e-05;3.56658855283053e-05;1.50115312704314e-09
"ANK3";4.83153778187352e-05;8.65080397016478e-05;9.80533252961439e-09
"ANKDD1A";0;0;0
"ANKFN1";7.98626878842874e-07;4.70646761437353e-06;2.27510985045451e-11
"ANKHD1";2.41767243429694e-05;3.5551841404193e-05;1.84630516713867e-09
"ANKHD1.EIF4EBP3";-0.00269166708828365;0.00532734668028636;3.55775916158499e-05
"ANKK1";0.000101300357918542;0.000219264662145447;5.82572681529515e-08
"ANKLE1";-4.06664197483142e-07;1.37605195882094e-06;2.0556854086635e-12
"ANKMY2";-0.00131116552663217;0.00291760767060461;1.02171617026816e-05
"ANKRD13A";-7.5626678289339e-07;3.48125475924492e-06;1.26705332394042e-11
"ANKRD19";0.000131273575714089;0.000376336651372811;1.58621977228337e-07
"ANKRD2";2.71583876679588e-06;1.59683141299874e-05;2.61930654910079e-10
"ANKRD22";0.00022606929741549;0.00063513181401334;4.53816032437722e-07
"ANKRD23";-9.07841875624854e-09;1.43391526077577e-05;2.05262886201662e-10
"ANKRD24";1.52459617438709e-07;5.38065853353505e-06;2.89256598737676e-11
"ANKRD29";4.49790043897641e-07;2.70360987517519e-06;7.4994284469086e-12
"ANKRD30B";-0.000721180661943067;0.00221943780806413;5.43765674088302e-06
"ANKRD34A";-7.33713010797009e-05;0.000187708417080348;4.05580782584249e-08
"ANKRD34B";2.45109591078301e-06;1.08253124594927e-05;1.2299663831485e-10
"ANKRD35";1.19627584904635e-06;1.24033581504744e-05;1.55013617971191e-10
"ANKRD39";-9.13078245690069e-05;9.39495918078026e-05;1.71486844151555e-08
"ANKRD45";-8.5506028643433e-06;3.36174622131619e-05;1.20133109403835e-09
"ANKRD49";0.000116387138488957;4.20643989817009e-05;1.53123806611331e-08
"ANKRD5";2.63300291067782e-08;2.54565925171702e-06;6.47009059963122e-12
"ANKRD50";8.53161810903706e-07;5.07559526503813e-06;2.644588852719e-11
