"gene";"mean";"sd";"se"
"STXBP6";-3.50103024666068e-07;3.58775834759084e-06;1.2899934956524e-11
"STYX";4.52937982554169e-05;6.42611562544113e-05;6.15066042088602e-09
"SUCLG2";0;0;0
"SUCNR1";-1.07026737568717e-05;4.78321299416288e-05;2.38563699313159e-09
"SUFU";-0.000382486452288237;0.000481987239186805;3.76899410667527e-07
"SUGT1L1";1.00424950819879e-07;2.14462696341433e-07;5.57412258683155e-14
"SULT1A3";0;0;0
"SULT1B1";4.27096870242822e-06;2.14081842197702e-05;4.73181596188946e-10
"SULT1C2";3.7803151060808e-05;0.000132648175027068;1.88952376097701e-08
"SULT1E1";-2.24769161828649e-07;2.6212363401351e-06;6.87087995084486e-12
"SULT4A1";-3.0396773810054e-05;7.83303610220084e-05;7.0144942757666e-09
"SUMF2";0.00021005391744843;0.000380340801085159;1.87718103168987e-07
"SUMO3";-0.00059338444761611;0.000451485653045335;5.54445579233553e-07
"SUN3";-3.78072473163712e-05;6.54441729169605e-05;5.68083551424404e-09
"SUOX";-2.65262541843642e-05;2.36341094154241e-05;1.2581061482677e-09
"SUPT3H";2.37173952357822e-05;0.000166001979385646;2.79165495176056e-08
"SUPV3L1";-0.000309781892297396;0.000309677905569508;1.91160075955053e-07
"SURF1";-7.29415638921776e-06;1.74990492926707e-05;3.57169850003071e-10
"SURF4";7.18425523791516e-07;2.24387114426785e-05;5.00309731652733e-10
"SUSD4";0.000163286842299471;0.000404189356635322;1.88830385973516e-07
"SUV39H1";-2.06904231627922e-05;3.35047711359142e-05;1.54240911063664e-09
"SUZ12";0.000411045861952397;0.000388895129287949;3.1908606764161e-07
"SV2A";-2.23825777789627e-05;2.58749163036533e-05;1.16556820459266e-09
"SV2C";7.79005038917584e-07;6.49106587641018e-06;4.24309767080564e-11
"SVIP";-0.000147052562971448;0.000200283328713503;6.14429164799698e-08
"SVOPL";-3.87673530786227e-06;2.03041303546326e-05;4.24255479417948e-10
"SYBU";0.00110481135814843;0.000795591140965255;1.8489192443263e-06
"SYCE1";1.07402735115393e-05;2.16598051344196e-05;5.81051022104431e-10
"SYCE1L";-4.88518483657009e-06;1.20757114491312e-05;1.68615611368054e-10
"SYCE2";3.40037520674533e-06;1.07152452066957e-05;1.25534792563914e-10
"SYCP2L";-4.80107718875156e-06;1.79920192088566e-05;3.4438285653707e-10
"SYK";1.97160848677748e-06;4.46942518375074e-06;2.37161208992111e-11
"SYMPK";3.31326722825858e-05;0.000112927442337589;1.37566120346645e-08
"SYN2";1.81176065009821e-05;7.04811144461266e-05;5.25930878026324e-09
"SYNC";-9.38172924417413e-06;2.8314044333373e-05;8.83807206692964e-10
